3.136751999999999874e-01,3.077757400000000199e-01,2.507304399999999989e-01
2.965497000000000272e-01,2.854800299999999957e-01,2.243652600000000108e-01
1.777615300000000009e-01,1.667163200000000012e-01,1.436681499999999945e-01
3.233531499999999781e-01,2.697867700000000091e-01,2.364565399999999928e-01
3.387197699999999756e-01,3.041990700000000158e-01,1.933882899999999905e-01
2.574210000000000109e-01,2.530603200000000053e-01,1.972295599999999982e-01
2.815882100000000055e-01,2.808348999999999984e-01,2.505266099999999829e-01
2.470997299999999897e-01,2.296582000000000068e-01,1.831288899999999886e-01
2.784261199999999992e-01,2.060104799999999958e-01,1.735657300000000014e-01
3.194786099999999962e-01,2.589830200000000082e-01,2.158136099999999891e-01
2.689654200000000106e-01,1.857868900000000101e-01,1.648128000000000093e-01
3.202311800000000042e-01,2.274674700000000049e-01,1.756631100000000112e-01
2.537814099999999851e-01,2.505205799999999927e-01,2.009118599999999977e-01
2.666974599999999973e-01,1.926221100000000130e-01,1.790277299999999960e-01
2.623163399999999812e-01,2.613386999999999794e-01,1.792124300000000059e-01
2.894171700000000014e-01,2.150051199999999940e-01,2.021925400000000039e-01
2.932379299999999800e-01,2.386897500000000061e-01,1.836159800000000120e-01
3.037057300000000071e-01,2.967888300000000035e-01,2.624698799999999888e-01
2.977466500000000016e-01,2.974786300000000216e-01,1.927890700000000068e-01
3.295007999999999826e-01,3.118284000000000056e-01,1.680454500000000129e-01
2.906683500000000198e-01,2.594351999999999769e-01,2.314137699999999909e-01
2.969605200000000056e-01,2.204368300000000003e-01,1.413243999999999889e-01
2.886636000000000202e-01,2.524030700000000071e-01,1.978404500000000010e-01
3.399005500000000235e-01,2.506220399999999904e-01,1.625492400000000115e-01
3.343609399999999954e-01,2.972034900000000146e-01,2.954595500000000152e-01
2.412182099999999885e-01,1.684156300000000106e-01,1.294395000000000129e-01
2.713454599999999828e-01,2.668660700000000108e-01,1.835253699999999932e-01
3.295570500000000180e-01,3.271743799999999869e-01,2.626401500000000167e-01
3.313060700000000081e-01,3.155376400000000081e-01,2.083805699999999872e-01
2.776837500000000070e-01,1.473150900000000096e-01,1.231428200000000001e-01
3.249032800000000165e-01,3.100936699999999879e-01,2.914473899999999729e-01
2.791131000000000029e-01,1.513764400000000010e-01,1.179660299999999995e-01
